Властелин колец| Джон Р. Р. Толкин
Крестики-нолики| Мэлори Блэкмен
Мемуары гейши| Артур Голден
Повесть о двух городах| Чарльз Диккенс
Поющие в терновнике| Колин Маккалоу
Мор, ученик Смерти| Терри Пратчетт
Далёкое волшебное дерево| Энид Блайтон
Волхв| Джон Фаулз
Благие знамения| Терри Пратчетт и Нил Гейман
Стража! Стража!| Терри Пратчетт
Повелитель мух| Уильям Голдинг
Парфюмер| Патрик Зюскинд
Филантропы в рваных штанах| Роберт Тресселл
Ночная стража| Терри Пратчетт
Матильда| Роальд Даль
Дневник Бриджит Джонс| Хелен Филдинг
Тайная история| Донна Тартт
Женщина в белом| Уильям Уилки Коллинз
Улисс| Джеймс Джойс
Холодный дом| Чарльз Диккенс
Двойняшки| Жаклин Уилсон
Семейство Твит| Роальд Даль
Я захватываю замок| Доди Смит
Ямы| Луис Сейкер
Горменгаст| Мервин Пик
Бог мелочей| Арундати Рой
Вики-Ангел| Жаклин Уилсон
О дивный новый мир| Олдос Хаксли
Неуютная ферма| Стелла Гиббонс
Чародей| Раймонд Фэйст
В дороге| Джек Керуак
Крестный отец| Марио Пьюзо
Клан пещерного медведя| Джин Ауэл
Цвет волшебства| Терри Пратчетт
Алхимик| Пауло Коэльо
Кэтрин| Аня Сетон
Каин и Авель| Джеффри Арчер
Любовь во время холеры| Габриэль Гарсиа Маркес
Девчонки в поисках любви| Жаклин Уилсон
Дневники принцессы| Мэг Кэбот
Дети полуночи| Салман Рушди
Трое в лодке, не считая собаки| Джером К. Джером
Мелкие боги| Терри Пратчетт
Пляж| Алекс Гарленд
Дракула| Брэм Стокер
Белый пик| Энтони Горовиц
Посмертные записки Пиквикского клуба| Чарльз Диккенс
Громобой| Энтони Горовиц
Осиная фабрика| Иэн Бэнкс
День Шакала| Фредерик Форсайт
Разрисованная мама| Жаклин Уилсон
Джуд Незаметный| Томас Харди
Тайный дневник Адриана Моула, 13 3/4 лет| Сью Таунсенд
Жестокое море| Николас Монсаррат
Отверженные| Виктор Гюго
Мэр Кэстербриджа| Томас Харди
Рискованные игры| Жаклин Уилсон
Плохие девчонки| Жаклин Уилсон
Портрет Дориана Грея| Оскар Уайльд
Сегун| Джеймс Клавелл
День триффидов| Джон Уиндем
Лола Роза| Жаклин Уилсон
Ярмарка тщеславия| Уильям Теккерей
Дом из листьев| Марк Данилевски
Сага о Форсайтах| Джон Голсуорси
Библия ядовитого леса| Барбара Кингсолвер
Мрачный жнец| Терри Пратчетт
Ангус, ремни и конкретные обжимашки| Луиз Рэннисон
Собака Баскервилей| Артур Конан Дойль
Обладать| Антония Сьюзен Байетт
Мастер и Маргарита| Михаил Булгаков
Рассказ служанки| Маргарет Этвуд
Денни - чемпион мира| Роальд Даль
К востоку от рая| Джон Стейнбек
Лечение Джорджа Марвелуса| Роальд Даль
Вещие сестрички| Терри Пратчетт
Пурпурный цвет| Элис Уокер
Санта-Хрякус| Терри Пратчетт
39 ступеней| Джон Бьюкен
Девчонки в слезах| Жаклин Уилсон
Вечеринка с ночёвкой| Жаклин Уилсон
На западном фронте без перемен| Эрих Мария Ремарк
В хранилищах музея| Кейт Аткинсон
Hi-Fi| Ник Хорнби
Оно| Стивен Кинг
Джеймс и гигантский персик| Роальд Даль
Зеленая миля| Стивен Кинг
Мотылёк| Анри Шарьер
К оружию! К оружию!| Терри Пратчетт
Хозяин морей: Командир и штурман| Патрик О’Брайан
Ключ от всех дверей| Энтони Горовиц
Роковая музыка| Терри Пратчетт
Вор времени| Терри Пратчетт
Пятый элефант| Терри Пратчетт
Искупление| Иэн Макьюэн
Секреты| Жаклин Уилсон
Серебряный меч| Ян Серрэйлер
Пролетая над гнездом кукушки| Кен Кизи
Сердце тьмы| Джозеф Конрад
Ким| Редьярд Киплинг
Чужестранка| Диана Гэблдон
Моби Дик| Герман Мелвилл
Песнь на закате| Льюис Грессик Гиббон
Корабельные новости| Энни Пру
Божество реки| Уилбур Смит
Мир глазами Гарпа| Джон Ирвинг
Лорна Дун| Ричард Блэкмор
Девчонки гуляют допоздна| Жаклин Уилсон
Далёкие шатры| Мэри Маргарет Кей
Ведьмы| Роальд Даль
Паутина Шарлотты| Элвин Брукс Уайт
Франкенштейн, или Современный Прометей| Мэри Шелли
Они играли на траве| Терри Венейблс и Гордон М. Уильямс
Старик и море| Эрнест Хемингуэй
Лолита| Владимир Набоков
Имя розы| Умберто Эко
Мир Софии| Йостейн Гордер
Девочка-находка| Жаклин Уилсон
Изумительный мистер Лис| Роальд Даль
Чайка по имени Джонатан Ливингстон| Ричард Бах
Маленький принц| Антуан де Сент-Экзюпери
Дитя из чемодана| Жаклин Уилсон
Приключения Оливера Твиста| Чарльз Диккенс
Сила единства| Брайс Куртене
Сайлес Марнер| Джордж Элиот
Американский психопат| Брет Истон Эллис
Дневник незначительного лица| Джордж и Уидон Гроссмит
На игле| Ирвин Уэлш
Хайди| Иоганна Шпири
Сыновья и любовники| Дэвид Герберт Лоуренс
Невыносимая лёгкость бытия| Милан Кундера
Мужчина и мальчик| Тони Парсонс
Правда| Терри Пратчетт
Война миров| Герберт Уэллс
Ужастики| Роберт Лоуренс Стайн
Заклинатель лошадей| Николас Эванс
Хрупкое равновесие| Рохинтон Мистри
Ведьмы за границей| Терри Пратчетт
Король былого и грядущего| Теренс Уайт
Очень голодная гусеница| Эрик Карл
Цветы на чердаке| Вирджиния Эндрюс
